/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_16.26.59-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 16:27:00,172 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 16:27:07,916 # help
2025-07-05 16:27:07,918 # Command              Description
2025-07-05 16:27:07,920 # ---------------------------------------
2025-07-05 16:27:07,922 # target_add           Add IPv6 target for sending packets
2025-07-05 16:27:07,924 # send                 Control sender: send start|stop
2025-07-05 16:27:07,927 # status               Show sender status and target list
2025-07-05 16:27:07,928 # ping                 Ping via ICMPv6
2025-07-05 16:27:07,930 # nib                  Configure neighbor information base
2025-07-05 16:27:07,932 # ifconfig             Configure network interfaces
2025-07-05 16:27:07,935 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 16:27:07,937 # pm                   interact with layered PM subsystem
2025-07-05 16:27:07,939 # version              Prints current RIOT_VERSION
2025-07-05 16:27:07,941 # bootloader           Reboot to bootloader
2025-07-05 16:27:07,943 # reboot               Reboot the node
2025-07-05 16:27:53,295 # -75,72
2025-07-05 16:27:53,396 # -77,64
2025-07-05 16:27:53,496 # -76,68
2025-07-05 16:27:53,596 # -75,72
2025-07-05 16:27:53,703 # -78,60
2025-07-05 16:27:53,799 # -78,60
2025-07-05 16:27:53,899 # -76,68
2025-07-05 16:27:53,998 # -76,68
2025-07-05 16:27:54,100 # -77,64
2025-07-05 16:27:54,201 # -77,64
2025-07-05 16:27:54,300 # -79,56
2025-07-05 16:27:54,402 # -80,52
2025-07-05 16:27:54,506 # -80,52
2025-07-05 16:27:54,602 # -78,60
2025-07-05 16:27:54,704 # -78,60
2025-07-05 16:27:54,804 # -76,68
2025-07-05 16:27:54,904 # -77,64
2025-07-05 16:27:55,004 # -76,68
2025-07-05 16:27:55,104 # -77,64
2025-07-05 16:27:55,205 # -76,68
2025-07-05 16:27:55,305 # -78,60
2025-07-05 16:27:55,407 # -78,60
2025-07-05 16:27:55,508 # -78,60
2025-07-05 16:27:55,607 # -76,68
2025-07-05 16:27:55,708 # -76,68
2025-07-05 16:27:55,714 # -76,68
2025-07-05 16:27:55,810 # -76,68
2025-07-05 16:27:55,910 # -75,72
2025-07-05 16:27:56,011 # -75,72
2025-07-05 16:27:56,110 # -75,72
2025-07-05 16:27:56,212 # -75,72
2025-07-05 16:27:56,318 # -76,68
2025-07-05 16:27:56,413 # -76,68
2025-07-05 16:27:56,514 # -76,68
2025-07-05 16:27:56,614 # -76,68
2025-07-05 16:27:56,714 # -76,68
2025-07-05 16:27:56,815 # -75,72
2025-07-05 16:27:56,914 # -75,72
2025-07-05 16:27:57,015 # -75,72
2025-07-05 16:27:57,116 # -76,68
2025-07-05 16:27:57,217 # -76,68
2025-07-05 16:27:57,318 # -77,64
2025-07-05 16:27:57,417 # -76,68
2025-07-05 16:27:57,519 # -77,64
2025-07-05 16:27:57,619 # -76,68
2025-07-05 16:27:57,719 # -77,64
2025-07-05 16:27:57,821 # -78,60
2025-07-05 16:27:57,920 # -79,56
2025-07-05 16:27:58,021 # -79,56
2025-07-05 16:27:58,122 # -78,60
2025-07-05 16:27:58,223 # -78,60
2025-07-05 16:27:58,324 # -78,60
2025-07-05 16:27:58,425 # -78,60
2025-07-05 16:27:58,524 # -78,60
2025-07-05 16:27:58,625 # -78,60
2025-07-05 16:27:58,726 # -78,60
2025-07-05 16:27:58,826 # -79,56
2025-07-05 16:27:58,925 # -78,60
2025-07-05 16:27:59,026 # -78,60
2025-07-05 16:27:59,129 # -79,56
2025-07-05 16:27:59,229 # -79,56
2025-07-05 16:27:59,328 # -78,60
2025-07-05 16:27:59,430 # -79,56
2025-07-05 16:27:59,531 # -80,52
2025-07-05 16:27:59,630 # -80,52
2025-07-05 16:27:59,732 # -79,56
2025-07-05 16:27:59,832 # -78,60
2025-07-05 16:27:59,933 # -78,60
2025-07-05 16:28:00,032 # -78,60
2025-07-05 16:28:00,134 # -79,56
2025-07-05 16:28:00,233 # -78,60
2025-07-05 16:28:00,335 # -80,52
2025-07-05 16:28:00,434 # -82,44
2025-07-05 16:28:00,535 # -81,48
2025-07-05 16:28:00,636 # -78,60
2025-07-05 16:28:00,738 # -78,60
2025-07-05 16:28:00,838 # -79,56
2025-07-05 16:28:00,937 # -79,56
2025-07-05 16:28:01,038 # -79,56
2025-07-05 16:28:01,139 # -79,56
2025-07-05 16:28:01,240 # -79,56
2025-07-05 16:28:01,340 # -80,52
2025-07-05 16:28:01,441 # -80,52
2025-07-05 16:28:01,541 # -80,52
2025-07-05 16:28:01,643 # -81,48
2025-07-05 16:28:01,743 # -80,52
2025-07-05 16:28:01,843 # -79,56
2025-07-05 16:28:01,945 # -77,64
2025-07-05 16:28:02,043 # -77,64
2025-07-05 16:28:02,150 # -77,64
2025-07-05 16:28:02,152 # -77,64
2025-07-05 16:28:02,245 # -77,64
2025-07-05 16:28:02,250 # -77,64
2025-07-05 16:28:02,346 # -78,60
2025-07-05 16:28:02,445 # -78,60
2025-07-05 16:28:02,547 # -78,60
2025-07-05 16:28:02,653 # -78,60
2025-07-05 16:28:02,749 # -78,60
2025-07-05 16:28:02,848 # -77,64
2025-07-05 16:28:02,948 # -78,60
2025-07-05 16:28:03,050 # -77,64
2025-07-05 16:28:03,151 # -78,60
2025-07-05 16:28:03,250 # -78,60
2025-07-05 16:28:03,351 # -78,60
2025-07-05 16:28:03,453 # -77,64
2025-07-05 16:28:03,552 # -77,64
2025-07-05 16:28:03,652 # -78,60
2025-07-05 16:28:03,754 # -78,60
2025-07-05 16:28:03,853 # -79,56
2025-07-05 16:28:03,959 # -79,56
2025-07-05 16:28:04,056 # -79,56
2025-07-05 16:28:04,155 # -79,56
2025-07-05 16:28:04,257 # -79,56
2025-07-05 16:28:04,358 # -79,56
2025-07-05 16:28:04,458 # -79,56
2025-07-05 16:28:04,558 # -78,60
2025-07-05 16:28:04,659 # -78,60
2025-07-05 16:28:04,758 # -78,60
2025-07-05 16:28:04,859 # -78,60
2025-07-05 16:28:04,959 # -78,60
2025-07-05 16:28:05,062 # -78,60
2025-07-05 16:28:05,160 # -79,56
2025-07-05 16:28:05,262 # -79,56
2025-07-05 16:28:05,368 # -79,56
2025-07-05 16:28:05,464 # -79,56
2025-07-05 16:28:05,471 # -79,56
2025-07-05 16:28:05,563 # -79,56
2025-07-05 16:28:05,666 # -79,56
2025-07-05 16:28:05,766 # -79,56
2025-07-05 16:28:05,865 # -79,56
2025-07-05 16:28:05,965 # -79,56
2025-07-05 16:28:06,066 # -79,56
2025-07-05 16:28:06,167 # -79,56
2025-07-05 16:28:06,269 # -79,56
2025-07-05 16:28:06,368 # -79,56
2025-07-05 16:28:06,468 # -79,56
2025-07-05 16:28:06,569 # -79,56
2025-07-05 16:28:06,670 # -79,56
2025-07-05 16:28:06,771 # -79,56
2025-07-05 16:28:06,870 # -79,56
2025-07-05 16:28:06,977 # -79,56
2025-07-05 16:28:07,071 # -79,56
2025-07-05 16:28:07,177 # -79,56
2025-07-05 16:28:07,273 # -78,60
2025-07-05 16:28:07,375 # -78,60
2025-07-05 16:28:07,474 # -79,56
2025-07-05 16:28:07,574 # -80,52
2025-07-05 16:28:07,676 # -79,56
2025-07-05 16:28:07,775 # -78,60
2025-07-05 16:28:07,882 # -78,60
2025-07-05 16:28:07,977 # -76,68
2025-07-05 16:28:08,079 # -75,72
2025-07-05 16:28:08,180 # -76,68
2025-07-05 16:28:08,284 # -77,64
2025-07-05 16:28:08,380 # -77,64
2025-07-05 16:28:08,481 # -78,60
2025-07-05 16:28:08,580 # -79,56
2025-07-05 16:28:08,681 # -82,44
2025-07-05 16:28:08,781 # -79,56
2025-07-05 16:28:08,883 # -76,68
2025-07-05 16:28:08,985 # -77,64
2025-07-05 16:28:09,084 # -79,56
2025-07-05 16:28:09,184 # -81,48
2025-07-05 16:28:09,286 # -81,48
2025-07-05 16:28:09,386 # -80,52
2025-07-05 16:28:09,487 # -79,56
2025-07-05 16:28:09,587 # -79,56
2025-07-05 16:28:09,687 # -79,56
2025-07-05 16:28:09,788 # -80,52
2025-07-05 16:28:09,889 # -81,48
2025-07-05 16:28:09,989 # -79,56
2025-07-05 16:28:10,089 # -79,56
2025-07-05 16:28:10,190 # -80,52
2025-07-05 16:28:10,296 # -78,60
2025-07-05 16:28:10,392 # -78,60
2025-07-05 16:28:10,493 # -79,56
2025-07-05 16:28:10,593 # -79,56
2025-07-05 16:28:10,694 # -79,56
2025-07-05 16:28:10,794 # -79,56
2025-07-05 16:28:10,894 # -77,64
2025-07-05 16:28:10,995 # -79,56
2025-07-05 16:28:11,097 # -81,48
2025-07-05 16:28:11,196 # -78,60
2025-07-05 16:28:11,297 # -78,60
2025-07-05 16:28:11,398 # -78,60
2025-07-05 16:28:11,498 # -80,52
2025-07-05 16:28:11,598 # -79,56
2025-07-05 16:28:11,699 # -79,56
2025-07-05 16:28:11,798 # -80,52
2025-07-05 16:28:11,901 # -80,52
2025-07-05 16:28:12,001 # -78,60
