rssi,lqi
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-63,120
-63,120
-63,120
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-62,124
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-64,116
-63,120
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-62,124
-62,124
-63,120
-62,124
-62,124
-62,124
-64,116
-68,100
-67,104
-67,104
-68,100
-66,108
-65,112
-66,108
-70,92
-67,104
-68,100
-69,96
-68,100
-66,108
-66,108
-66,108
-64,116
-63,120
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-63,120
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-64,116
-63,120
-64,116
-64,116
-64,116
-64,116
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-66,108
-64,116
-65,112
-64,116
-64,116
-65,112
-66,108
-65,112
-65,112
-65,112
-65,112
-64,116
-65,112
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-66,108
-66,108
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-64,116
-66,108
-65,112
-64,116
-65,112
-66,108
-65,112
-64,116
-64,116
-64,116
-65,112
-66,108
-66,108
-66,108
-67,104
-69,96
-73,80
-68,100
-66,108
-66,108
-66,108
-67,104
-68,100
-67,104
-69,96
-65,112
-65,112
-66,108
-66,108
-64,116
-64,116
-64,116
-65,112
-65,112
-63,120
-64,116
-66,108
-65,112
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-62,124
-64,116
-65,112
-65,112
-64,116
-65,112
-67,104
-66,108
-64,116
-63,120
-64,116
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-65,112
-65,112
-66,108
-68,100
-68,100
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-67,104
-67,104
-66,108
-66,108
-66,108
-67,104
-66,108
-67,104
-66,108
-67,104
-66,108
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-67,104
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-67,104
-66,108
-65,112
-65,112
-65,112
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-66,108
-66,108
-68,100
-67,104
-66,108
-65,112
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-66,108
-65,112
-65,112
-64,116
-66,108
-65,112
-64,116
-64,116
-66,108
-65,112
-65,112
-64,116
-66,108
-66,108
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-67,104
-66,108
-67,104
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-66,108
-64,116
-65,112
-65,112
-68,100
-66,108
-66,108
-66,108
-64,116
-70,92
-69,96
-65,112
-66,108
-69,96
-72,84
-67,104
-65,112
-66,108
-67,104
-69,96
-69,96
-65,112
-65,112
-69,96
-70,92
-66,108
-66,108
-65,112
-65,112
-65,112
-67,104
-66,108
-64,116
-63,120
-64,116
-65,112
-66,108
-64,116
-64,116
-64,116
-65,112
-67,104
-66,108
-68,100
-66,108
-65,112
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-66,108
-66,108
-66,108
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-66,108
-67,104
-67,104
-66,108
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-64,116
-64,116
-64,116
-65,112
-64,116
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-67,104
-65,112
-66,108
-67,104
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-65,112
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-66,108
-66,108
-66,108
-67,104
-67,104
-64,116
-65,112
-65,112
-64,116
-66,108
-66,108
-65,112
-66,108
-65,112
-65,112
-66,108
-69,96
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-65,112
-63,120
-63,120
-63,120
-63,120
-64,116
-63,120
-65,112
-64,116
-64,116
-65,112
-64,116
-65,112
-66,108
-64,116
-65,112
-67,104
-66,108
-67,104
-65,112
-66,108
-68,100
-66,108
-65,112
-65,112
-66,108
-66,108
-65,112
-66,108
-65,112
-66,108
-64,116
-64,116
-65,112
-63,120
-63,120
-63,120
-65,112
-65,112
-65,112
-64,116
-65,112
-64,116
-65,112
-64,116
-65,112
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-65,112
-66,108
-66,108
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-64,116
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-65,112
-66,108
-66,108
-66,108
-65,112
-65,112
-66,108
-67,104
-65,112
-64,116
-64,116
-65,112
-66,108
-67,104
-66,108
-66,108
-67,104
-65,112
-63,120
-66,108
-67,104
-65,112
-64,116
-67,104
-65,112
-66,108
